,D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511
D320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,7,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
D321,1,0,55,22,0,25,0,1,0,1,2,160,0,0,0,69,7,0,0,12,80,4,0,0,0,55,0,22,1,1,0,165,2,6,0,0,0,0,2,0,0,0,7,0,19,27,1,3,126,63,39,0,43,1,0,8,9,3,1,0,3,6,0,0,0,0,0,178,3,3,0,0,0,9,6,0,0,1,1,0,5,1,22,5,18,0,0,0,0,335,52,0,14,39,0,0,1,0,103,0,0,201,0,24,51,413,312,0,0,1,2,0,9,87,42,12,0,0,0,335,0,0,6,0,110,0,0,3,15,0,8,182,13,1,0,1,1,0,82,1,28,158,12,99,49,0,0,1,18,7,9,0,2,2,105,6,0,118,0,32,1,57,0,372,145,1,0,203,217,0,6,310,2,17,3,28,0,14,115,114,44,122,35,8,5,4,243,0,7,0,10,4,4,3,2,2,0,0,0,10,0,0,0,36,0,0,8,5,2,18,12,0,56,26,2,24,55,4,8,3,0,101,0,17,17,0,0,0,1,0,0,0,0,63,0,12,144,0,0,0,3,1,0,0,0,150,3,2,0,0,16,5,38,0,0,1,3,0,0,0,2,1,0,6,3,27,170,90,7,95,100,0,8,0,5,0,0,0,101,24,1,3,4,0,84,19,0,1,11,70,3,0,50,63,19,78,0,0,5,3,5,1,0,7,1,111,1,0,5,0,0,10,1,9,0,74,42,35,38,58,0,959,17,0,2,85,23,0,21,497,0,0,23,21,0,349,531,237,0,5,2,35,50,6,61,2,1,0,2,0,0,0,2,8,40,1,107,1,1,8,0,65,1,0,30,0,2,0,0,54,0,0,221,18,3,193,2,0,4,16,3,0,0,1,0,15,252,5,3,1,0,4,2,31,28,58,2,2,22,11,2,0,0,0,15,0,4,0,0,0,19,0,20,57,0,0,0,44,282,50,1,0,0,1,6,4,23,0,0,181,22,1,1,16,27,1,161,257,55,2,1,1,165,0,6,0,1,7,2,106,317,245,0,0,22,109,72,2,71,0,0,18,0,1,6,19,40,1,0,0,2,570,1,0,41,0,233,167,0,72,2,1,0,1,0,0,0,1,2,0,2,235,0,0,1,33,177,0,30,55,4,0,14,384,0,10,0,2,8,0,2,4
D322,4,0,60,11,0,123,0,0,1,0,4,341,0,0,0,243,1,4,1,25,416,33,0,0,0,80,0,7,0,8,2,679,3,13,2,0,0,0,10,0,0,0,18,0,29,65,3,2,329,28,88,3,63,8,0,10,7,5,0,0,11,29,0,0,1,0,0,95,1,10,0,0,0,18,11,0,0,2,1,0,39,2,29,6,4,2,0,0,0,491,47,0,79,22,0,0,0,0,205,0,1,606,0,4,14,1502,1434,0,3,2,7,0,25,564,304,31,1,2,0,246,0,0,9,3,106,0,2,8,65,0,4,440,56,0,0,18,6,0,133,11,34,308,30,86,67,0,2,0,35,7,32,6,4,0,180,35,0,500,1,58,15,162,0,602,365,8,0,269,531,0,4,256,1,8,9,39,1,28,192,136,373,648,95,9,3,1,944,0,25,0,34,9,8,1,0,8,0,1,2,17,0,6,3,54,0,0,3,19,4,15,8,0,125,198,0,44,82,35,3,3,0,120,0,27,48,0,0,0,0,0,0,1,5,72,1,3,344,4,0,0,6,2,0,0,0,843,2,1,0,0,124,18,105,0,0,0,42,0,0,0,0,1,0,12,1,7,256,76,16,544,479,2,7,0,3,0,1,0,55,27,0,20,6,0,159,23,0,9,6,53,19,0,64,394,79,237,0,0,6,5,31,0,0,22,0,19,1,0,6,0,1,13,6,8,0,116,345,164,63,74,0,17,2410,0,13,63,29,1,42,890,0,3,20,38,9,1470,1989,1248,0,2,0,23,323,29,19,4,1,0,3,1,0,0,0,56,14,8,134,1,1,19,1,398,3,2,348,0,6,0,0,75,3,0,768,21,0,259,1,0,3,32,4,0,24,5,0,8,184,30,11,1,12,7,8,74,64,222,25,5,23,30,2,0,0,3,7,0,3,28,0,2,11,1,79,147,0,0,0,41,667,273,10,1,0,0,5,4,51,0,0,163,29,0,1,45,21,0,313,1247,487,4,7,9,326,0,6,0,0,10,13,356,550,257,0,0,31,75,51,11,129,0,0,39,0,0,13,48,19,0,0,0,0,1522,0,0,148,0,822,581,3,180,2,0,0,0,0,0,14,2,0,4,1,274,0,0,4,89,292,0,37,79,2,0,145,537,0,6,0,6,17,0,0,2
D323,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
D324,9,0,20,2,0,23,0,1,1,12,3,344,1,0,0,159,2,1,2,15,396,42,0,0,0,98,0,1,0,4,1,345,0,3,0,1,0,0,15,0,0,0,26,0,7,35,1,11,94,60,146,0,2,2,0,7,15,3,0,0,0,24,0,0,0,0,0,132,0,0,0,0,0,4,5,0,0,0,4,0,1,1,57,1,3,2,0,0,0,227,80,0,18,15,0,0,1,0,98,0,1,283,0,14,31,981,454,0,0,1,0,0,4,169,37,34,0,5,0,102,0,0,8,0,112,0,2,1,28,0,5,213,45,3,0,3,5,1,220,6,22,206,112,71,50,0,0,8,54,0,10,0,1,0,75,13,1,166,0,21,3,336,0,601,104,3,0,93,226,2,1,104,1,6,55,43,0,60,189,107,224,494,108,7,0,0,353,0,1,1,5,5,32,0,2,15,1,0,0,4,0,0,3,15,0,0,0,6,1,10,19,0,66,146,0,5,72,21,2,3,0,78,0,76,21,0,1,0,1,0,0,0,8,36,1,9,152,1,0,0,7,2,0,0,0,541,18,0,0,0,71,9,94,0,1,1,6,0,0,0,0,0,0,7,1,9,107,63,28,434,188,4,12,0,3,0,0,0,49,32,0,18,1,0,83,4,1,0,3,34,2,0,29,160,20,25,0,0,30,1,19,2,0,80,0,28,10,1,11,0,1,1,1,5,0,31,20,24,41,65,0,2,13,0,1344,112,8,1,5,640,0,49,18,33,2,475,758,604,0,9,0,52,213,23,21,3,0,0,1,1,1,0,1,11,12,1,43,2,6,5,1,165,2,0,27,0,8,0,0,24,0,0,529,6,0,101,0,0,1,10,0,0,9,8,0,4,198,11,2,4,2,4,9,46,20,60,0,0,6,1,4,0,0,2,16,0,8,7,0,3,3,0,23,93,0,0,0,24,562,195,25,1,0,0,14,3,29,0,0,99,50,0,1,48,18,0,240,415,158,3,1,2,374,0,2,0,0,19,9,104,402,68,0,0,21,58,48,5,49,0,0,21,0,0,10,16,19,0,0,0,0,709,0,0,69,0,276,392,0,307,2,1,0,1,0,0,13,0,0,0,3,238,0,0,2,61,56,0,13,12,1,0,30,288,0,7,0,0,3,0,1,2
D325,171,1,650,266,0,392,0,487,13,125,94,10185,2,11,4,4280,262,15,0,462,4173,711,0,0,3,8278,0,34,12,55,5,6494,4,6,10,588,0,1,275,0,0,8,4705,0,166,156,1,49,1411,4876,3121,2,338,365,0,846,395,215,2,1,125,353,0,5,2,0,23,1252,33,122,0,0,1,124,119,37,0,197,451,0,280,32,1003,51,106,7,2,0,12,11243,3654,0,774,106,1,1,211,0,696,0,39,2344,82,491,940,26227,6692,5,12,139,8,0,797,7838,2231,1959,8,35,0,10113,41,0,541,1,3972,6,140,31,1309,0,1420,5901,2641,61,0,6,64,2,15172,398,593,5349,1196,1930,1322,2,18,265,6562,279,42,52,19,12,1347,48,8,4207,1,275,10,5117,12,14394,1449,119,1,2057,7491,1,50,15413,25,57,502,4593,43,1005,5750,3039,3557,3968,595,246,458,15,14422,0,189,20,528,144,515,18,80,553,34,34,3,147,0,58,120,569,8,0,12,416,79,232,396,11,5257,2366,90,126,1971,37,178,41,2,1405,1,1359,267,0,3,0,75,0,0,17,47,799,10,54,5142,14,0,0,58,5,0,0,0,7492,854,32,55,0,1041,221,2513,0,0,4,264,22,0,1,1,175,3,26,106,196,5544,8603,212,4876,1873,24,352,0,670,0,12,1,5085,3161,2,82,171,1,6599,104,10,243,3,4813,26,0,2729,1841,1007,418,0,0,3482,28,650,64,0,902,6,1485,80,289,1446,1,30,193,49,713,24,1036,864,584,2139,3909,0,85,63,0,112,41741,178,1,114,19197,1,151,716,1150,24,7180,17905,7706,10,130,1,982,9459,316,206,278,12,0,110,19,23,0,64,1115,325,9,4440,12,32,676,1,10783,30,19,1165,0,62,0,87,530,4,0,9234,460,29,1949,2,12,42,121,38,9,375,7,0,241,15488,345,190,732,31,45,390,1861,1177,2226,79,506,120,244,351,1,0,23,598,0,122,19,0,7,173,64,1726,5007,0,0,0,178,18005,8521,47,28,3,0,112,70,1247,102,0,9810,2110,26,31,840,79,23,12839,14115,1227,180,14,231,5752,1,114,10,76,233,79,3643,12107,3747,0,1,766,2463,4746,220,4694,1,37,778,0,0,701,1266,517,60,0,1,5,12001,39,5,7664,0,2370,15659,5,2661,65,83,0,8,0,0,14,1,3,2,176,9913,4,0,27,502,2661,0,841,1657,143,0,511,18118,4,457,4,48,234,1,12,157
D326,11,0,47,9,0,9,0,60,0,0,19,377,0,0,0,259,10,0,1,36,206,69,0,0,0,198,0,2,0,6,1,167,0,2,1,3,1,0,1,0,0,0,92,0,1,8,0,3,72,171,224,6,9,0,0,11,23,19,4,1,7,12,0,0,0,0,0,67,0,5,0,0,0,4,2,1,0,2,3,0,2,1,32,5,12,0,0,0,1,620,221,0,121,5,0,0,5,0,72,0,0,256,2,7,56,1407,221,0,0,4,1,0,40,304,103,230,0,0,0,211,0,0,7,0,159,3,3,2,48,0,8,440,129,7,0,6,5,1,372,4,28,346,50,111,86,0,2,27,55,27,4,14,0,0,58,0,1,223,0,25,2,323,1,843,148,5,0,161,96,0,4,465,1,1,24,178,2,14,482,77,311,196,61,1,3,0,410,0,16,0,5,9,11,0,1,8,0,3,0,8,0,2,2,53,0,0,0,12,27,13,14,0,142,63,0,23,52,0,9,2,0,62,0,55,19,0,0,0,2,0,0,2,1,17,0,0,105,3,0,0,9,2,0,0,0,453,4,1,1,0,35,30,92,0,0,2,12,0,0,0,0,2,0,2,2,12,174,294,6,328,94,4,2,0,8,0,0,0,188,110,0,2,27,0,243,60,3,2,0,123,3,0,99,82,48,32,0,0,115,0,59,0,0,32,1,17,0,3,10,0,2,29,3,21,0,37,110,47,63,65,0,23,29,0,8,178,1754,0,1,991,0,8,25,8,7,350,1061,496,1,3,0,38,362,64,8,41,0,0,10,2,1,0,0,36,18,3,165,3,7,30,0,328,10,0,68,0,2,0,3,52,3,0,615,9,3,110,0,0,8,5,1,0,3,2,0,5,390,14,7,6,11,8,3,73,49,88,3,13,14,50,36,0,0,1,14,0,8,2,0,2,4,0,21,81,0,0,0,28,710,202,0,0,1,0,4,0,31,4,0,364,65,2,0,76,2,3,376,654,90,3,0,15,153,2,7,0,0,33,3,54,519,142,0,3,29,55,75,17,109,0,1,160,0,0,84,35,2,0,0,0,1,728,3,0,103,0,153,196,0,111,1,0,0,0,0,0,9,1,2,1,16,344,0,0,2,31,136,0,53,107,2,0,69,654,0,23,1,6,9,0,1,14
D327,1,0,1,0,0,2,0,0,0,0,1,12,0,0,0,10,0,0,0,2,43,1,0,0,0,6,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,5,1,19,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,43,31,0,0,4,0,0,0,0,12,0,0,12,1,0,0,66,29,0,0,0,0,0,0,16,8,0,0,0,0,4,0,0,1,0,12,0,0,1,2,0,0,17,1,0,0,1,0,0,3,0,2,6,10,4,0,0,0,0,2,0,1,0,2,0,0,1,0,16,0,2,0,10,0,34,7,0,0,3,9,0,1,10,0,0,4,0,0,2,16,7,37,36,5,0,0,0,43,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,10,23,0,4,7,5,0,0,0,30,0,0,3,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,53,1,0,1,0,9,0,12,0,0,0,4,0,0,0,0,1,0,1,0,1,0,6,0,47,10,0,5,0,1,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,3,4,3,7,0,0,1,0,3,0,0,2,0,7,0,0,0,0,0,0,0,0,0,6,1,9,0,6,0,0,1,0,1,1,0,111,0,54,0,1,2,4,0,21,84,35,0,1,0,0,13,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,28,0,0,15,0,0,0,0,0,0,0,58,0,0,13,0,0,0,1,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,1,18,38,1,1,0,0,0,1,2,0,0,3,2,0,0,0,2,0,16,75,4,3,1,0,39,0,0,0,0,1,0,16,14,3,0,0,1,10,1,0,6,0,0,2,0,0,0,5,0,0,0,0,0,77,0,0,32,0,21,20,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,4,0,0,2,18,0,1,0,0,0,0,4,0
D328,7,0,40,32,0,69,0,11,3,10,5,597,1,1,0,106,6,0,1,48,362,64,0,0,0,211,0,9,0,0,0,602,0,1,0,5,0,0,47,0,0,1,84,0,46,103,1,0,215,290,28,0,66,11,0,10,12,3,0,0,16,41,0,0,0,0,2,292,1,2,0,0,0,11,8,0,0,7,2,0,15,0,31,6,3,0,0,0,0,486,29,0,20,9,0,0,2,0,183,0,2,329,0,4,29,1641,1273,0,2,4,8,0,15,481,177,65,0,2,0,698,0,0,3,0,38,0,4,3,83,0,10,530,47,3,0,4,26,0,397,23,32,457,81,117,79,0,3,0,192,8,8,1,0,2,601,20,2,472,0,94,3,362,0,867,354,15,0,271,893,1,6,328,0,4,3,60,1,61,296,227,319,675,117,5,6,0,907,0,14,0,16,52,32,1,0,9,0,3,1,22,0,8,12,16,2,0,2,10,15,10,23,0,187,37,0,24,291,3,4,2,0,100,1,110,57,0,1,0,2,0,0,0,0,168,1,5,920,7,0,0,9,0,0,0,0,1035,7,0,1,0,176,81,116,0,0,2,23,0,0,0,0,3,0,18,2,13,638,464,21,547,332,5,3,0,14,0,0,0,160,45,0,7,6,0,428,12,0,5,3,272,16,0,215,793,71,134,0,0,29,3,29,0,0,35,1,8,25,4,23,0,0,6,4,2,0,101,140,81,143,259,0,21,42,0,5,114,1,0,2810,1354,0,5,13,43,9,925,1966,465,0,4,0,11,470,46,11,6,0,0,7,0,0,0,1,80,5,7,196,1,1,49,0,541,1,1,181,0,10,0,2,17,0,0,760,24,2,284,0,0,0,15,3,0,27,1,0,11,271,17,9,0,2,9,8,22,33,78,8,10,4,23,5,0,0,1,26,0,10,27,0,0,13,0,174,181,0,0,0,18,1032,374,12,2,0,0,3,3,40,3,0,343,20,0,3,28,38,0,925,1365,211,5,5,5,751,0,2,0,1,8,9,521,745,233,0,0,57,156,93,13,304,0,0,23,1,1,23,59,29,0,3,0,4,1377,11,0,109,0,480,897,1,200,1,3,0,0,0,0,16,0,0,2,3,482,0,0,1,40,488,0,16,45,1,0,47,732,0,20,0,2,14,0,0,0
D329,574,2,4423,1127,0,4929,17,2099,69,426,678,35977,12,58,31,19256,790,106,27,2397,18926,2196,0,0,5,16419,0,203,55,128,33,40602,16,209,32,382,4,5,1059,3,2,64,7501,0,864,1331,29,601,6976,11224,11620,33,2069,938,3,1175,1752,759,13,5,699,4132,0,28,18,0,39,9105,156,283,0,0,4,703,518,38,1,475,300,3,690,109,4014,197,881,75,8,0,48,56869,8880,0,3605,2710,1,1,250,1,13896,0,56,22253,109,1330,3315,118473,42424,7,37,385,239,1,2222,26070,10236,6461,26,150,4,35582,51,0,744,35,15208,35,238,231,4300,0,1009,26967,6383,160,0,221,722,11,29495,1196,2558,28044,4741,9344,7338,7,152,496,11188,1275,429,170,97,110,9908,1447,72,22891,20,1229,167,20972,7,66308,15643,430,1,17577,32562,65,282,33131,143,580,2125,8463,78,2734,21409,15480,22129,28733,3952,1156,410,147,54023,1,1049,23,2133,1475,1224,71,155,1053,71,248,45,670,0,193,592,2010,22,0,26,1740,713,1258,2054,87,15230,13594,66,1544,10656,1189,402,150,5,11079,15,4464,1788,0,6,0,152,1,0,55,121,7194,35,925,29152,271,0,0,478,48,0,0,2,43760,813,162,121,2,6681,2590,13303,0,9,57,1165,76,0,2,20,255,20,363,146,1944,20154,20406,653,32341,18411,81,589,0,1265,0,72,5,10280,6069,2,1181,760,7,20480,361,54,324,215,14923,714,0,8214,18792,4932,7037,0,0,3993,254,2445,177,0,1210,97,2507,444,213,2101,0,167,368,141,2114,47,5759,7282,5321,5681,12401,3,497,890,1,640,19197,991,54,1354,172359,5,696,3479,2645,335,43510,114678,58904,6,717,11,2777,29178,1426,3477,1219,49,0,684,142,147,0,210,4107,1736,102,10861,134,324,2320,51,33627,262,86,8547,2,541,0,152,4193,35,0,50363,1683,111,17102,11,12,220,922,206,60,1139,285,0,697,39917,1232,276,456,208,477,1174,3288,4046,11020,497,782,945,1569,1264,0,1,231,3280,4,432,677,0,39,531,124,5210,15361,1,4,0,2131,61423,30330,531,321,6,1,441,213,2744,394,0,26756,5468,75,89,2518,1332,63,35336,74613,9721,524,240,703,26421,27,212,18,208,972,282,18893,51798,18102,7,29,6247,6379,7961,810,15958,5,66,3691,19,41,2815,2944,1921,111,4,1,58,89657,268,8,22304,0,22985,36544,23,14948,147,101,5,54,0,16,448,30,43,31,399,38214,58,2,331,7062,21250,0,2588,8641,154,0,6662,62107,9,2118,3,199,1035,1,52,717
D330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,6,0,0,0,0,1,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
